# PokeAPI api-data revision 837b3642001d4853249114d2b5601d46e1004a45
"id","name","primary_type","secondary_type","gender_rate","capture_rate","stage","acquisition","evolutions"
"1","Bulbasaur","Grass","Poison","1","45","Base","Wild","2:Level:16:None"
"2","Ivysaur","Grass","Poison","1","45","Middle","Wild","3:Level:32:None"
"3","Venusaur","Grass","Poison","1","45","Final","Wild",""
"4","Charmander","Fire","None","1","45","Base","Wild","5:Level:16:None"
"5","Charmeleon","Fire","None","1","45","Middle","Wild","6:Level:36:None"
"6","Charizard","Fire","Flying","1","45","Final","Wild",""
"7","Squirtle","Water","None","1","45","Base","Wild","8:Level:16:None"
"8","Wartortle","Water","None","1","45","Middle","Wild","9:Level:36:None"
"9","Blastoise","Water","None","1","45","Final","Wild",""
"10","Caterpie","Bug","None","4","255","Base","Wild","11:Level:7:None"
"11","Metapod","Bug","None","4","120","Middle","Wild","12:Level:10:None"
"12","Butterfree","Bug","Flying","4","45","Final","Wild",""
"13","Weedle","Bug","Poison","4","255","Base","Wild","14:Level:7:None"
"14","Kakuna","Bug","Poison","4","120","Middle","Wild","15:Level:10:None"
"15","Beedrill","Bug","Poison","4","45","Final","Wild",""
"16","Pidgey","Normal","Flying","4","255","Base","Wild","17:Level:18:None"
"17","Pidgeotto","Normal","Flying","4","120","Middle","Wild","18:Level:36:None"
"18","Pidgeot","Normal","Flying","4","45","Final","Wild",""
"19","Rattata","Normal","None","4","255","Base","Wild","20:Level:20:None"
"20","Raticate","Normal","None","4","127","Final","Wild",""
"21","Spearow","Normal","Flying","4","255","Base","Wild","22:Level:20:None"
"22","Fearow","Normal","Flying","4","90","Final","Wild",""
"23","Ekans","Poison","None","4","255","Base","Wild","24:Level:22:None"
"24","Arbok","Poison","None","4","90","Final","Wild",""
"25","Pikachu","Electric","None","4","190","Base","Wild","26:Item:0:ThunderStone"
"26","Raichu","Electric","None","4","75","Final","EvolutionOnly",""
"27","Sandshrew","Ground","None","4","255","Base","Wild","28:Level:22:None"
"28","Sandslash","Ground","None","4","90","Final","Wild",""
"29","Nidoran♀","Poison","None","8","235","Base","Wild","30:Level:16:None"
"30","Nidorina","Poison","None","8","120","Middle","Wild","31:Item:0:MoonStone"
"31","Nidoqueen","Poison","Ground","8","45","Final","EvolutionOnly",""
"32","Nidoran♂","Poison","None","0","235","Base","Wild","33:Level:16:None"
"33","Nidorino","Poison","None","0","120","Middle","Wild","34:Item:0:MoonStone"
"34","Nidoking","Poison","Ground","0","45","Final","EvolutionOnly",""
"35","Clefairy","Fairy","None","6","150","Base","Wild","36:Item:0:MoonStone"
"36","Clefable","Fairy","None","6","25","Final","EvolutionOnly",""
"37","Vulpix","Fire","None","6","190","Base","Wild","38:Item:0:FireStone"
"38","Ninetales","Fire","None","6","75","Final","EvolutionOnly",""
"39","Jigglypuff","Normal","Fairy","6","170","Base","Wild","40:Item:0:MoonStone"
"40","Wigglytuff","Normal","Fairy","6","50","Final","EvolutionOnly",""
"41","Zubat","Poison","Flying","4","255","Base","Wild","42:Level:22:None"
"42","Golbat","Poison","Flying","4","90","Final","Wild",""
